pollutant,scope,site,outcome,n,r2,coef,p_value,q_value_at_0.05,fdr_significant_q0.05,q_value_at_0.1,fdr_significant_q0.1
NOx,per_site,UAB,moderate_hypo_windows_per_day,715,0.0238836819201051,0.1627586447069726,0.3205952195901944,0.6766878688427395,False,0.6766878688427395,False
VOC,per_site,UAB,moderate_hyper_fraction,715,0.0448797586533894,0.034554072360809,0.3225218052415183,0.6766878688427395,False,0.6766878688427395,False
NOx,per_site,UAB,moderate_hyper_mean_glucose,642,0.0386018127272658,1.9668265042140047,0.3266323009221599,0.6766878688427395,False,0.6766878688427395,False
VOC,pooled,all,moderate_hyper_fraction,1944,0.0631572795910708,0.0208804954724102,0.3274008252281166,0.6766878688427395,False,0.6766878688427395,False
VOC,pooled,all,moderate_hypo_minutes_per_day,1944,0.008916300372328,3.4550324655700577,0.3287535928732388,0.6766878688427395,False,0.6766878688427395,False
VOC,pooled,all,moderate_hyper_minutes_per_day,1944,0.0627063683915869,29.69148721445801,0.3298361789264921,0.6766878688427395,False,0.6766878688427395,False
NOx,pooled,all,moderate_hyper_windows_per_day,1944,0.0562663434427496,0.2565647939814763,0.3299555099571356,0.6766878688427395,False,0.6766878688427395,False
VOC,per_site,UAB,severe_hypo_minutes_per_day,715,0.0199803423445569,4.336635608267597,0.3324874466616239,0.6766878688427395,False,0.6766878688427395,False
VOC,per_site,UAB,moderate_hypo_windows_per_day,715,0.0238038113957205,0.2101003196898244,0.3351132614863843,0.6766878688427395,False,0.6766878688427395,False
VOC,per_site,UW,moderate_hyper_fraction,711,0.1063198125943027,-0.0383247328604647,0.3359943237656658,0.6766878688427395,False,0.6766878688427395,False
VOC,per_site,UAB,severe_hypo_fraction,715,0.0168809342116665,0.0061604960906459,0.3397254056664288,0.6794508113328576,False,0.6794508113328576,False
NOx,per_site,UW,moderate_hypo_windows_per_day,711,0.0276972161547613,0.1254467001121408,0.3463437739365729,0.6846920469644542,False,0.6846920469644542,False
