experiment,exposure,outcome,site,n,estimate,ci_lo,ci_hi,p,note
E2B.1,bmi_obese,monofilament_missed,UCSD,673,0.2648,-0.0256,0.5553,0.07388287740209735,
E2D.1,steps,abn_kidney,UW,721,0.7125,0.5269,0.9633,0.027615519465779618,
E2D.1,steps,abn_kidney,UAB,729,1.0247,0.8356,1.2566,0.8145145528014441,
E2D.1,steps,abn_kidney,UCSD,499,1.0171,0.7789,1.3282,0.9008326894250783,
E2D.1,steps,abn_heart,UW,721,0.62,0.4545,0.8458,0.002551724424891872,
E2D.1,steps,abn_heart,UAB,733,0.8622,0.7,1.0621,0.16339385145421104,
E2D.1,steps,abn_heart,UCSD,503,0.8436,0.6449,1.1035,0.21454872344678733,
E2D.1,steps,abn_nerve,UW,719,0.912,0.6857,1.213,0.5268188694301078,
E2D.1,steps,abn_nerve,UAB,739,0.9376,0.7654,1.1485,0.5335672932886912,
E2D.1,steps,abn_nerve,UCSD,530,0.7572,0.5462,1.0496,0.09498704238436041,
E2D.1,steps,abn_any,UW,717,0.6641,0.5287,0.8343,0.00043832966546967616,
E2D.1,steps,abn_any,UAB,729,0.989,0.8404,1.1638,0.8937269226321942,
E2D.1,steps,abn_any,UCSD,497,0.9237,0.747,1.1421,0.4634223026290455,
E2D.1,steps,abn_multi,UW,717,0.7742,0.5396,1.111,0.16489273404859273,
E2D.1,steps,abn_multi,UAB,729,0.777,0.5995,1.0071,0.056609634798648174,
E2D.1,steps,abn_multi,UCSD,497,0.6547,0.4276,1.0026,0.051393315702279285,
E2D.1,steps,log_acr,UW,721,-0.079,-0.2389,0.0809,0.33266627458373055,
E2D.1,steps,log_acr,UAB,729,0.1197,-0.0092,0.2485,0.06874501333942779,
E2D.1,steps,log_acr,UCSD,499,-0.0213,-0.2001,0.1575,0.8150938752037126,
